HotelName,HotelDescription,PriceRange
Magnolia,"LocationThis hotel complex is situated in the park zone of Albena about 850 m from the sandy beach. Guests will find restaurants and bars 250 m away while the nearest discos and shops are 550 m and it is 750 m to the nearest links to the public transport network. Balchik and Kaliakra Cape are 9 km away, the Golden Sands resort is 10 km and the Aladzha monastery is 12 km away. It is 35 km to Varna and Varna Airport is 40 km away.FacilitiesUnits include 340 rooms, including 9 single rooms and 321 double rooms, located in a 4-storey main building and a 3-storey auxiliary building. At this property, which includes a lift and a 24-hour reception desk in the lobby, a check-in/check-out service is available round the clock. A safe, a currency exchange service, a newspaper stand, a TV room, a childcare service, medical assistance and an alarm call service are available. Wireless internet access allows guests to stay connected while on holiday. A number of shops, including a supermarket, are great for shopping or just browsing. The grounds of the hotel feature a playground and a lovely garden. Guests arriving by car can park their vehicles",EUR 42 - EUR 84
MARINA MANNA CLUB VILLAGE,"Property Location With a stay at Marina Manna Hotel & Club Village in Valledoria, you'll be by the sea, just a 5-minute walk from San Pietro Beach and 14 minutes by foot from BaiaNonrefundable",EUR 0 - EUR 0
Napa Ace Tourist Apartments,"EPS Location 1 and 2 With a stay at Napa Ace Tourist Apartments in Ayia Napa, you'll be near the beach, a 4-minute walk from Ayia Napa Monastery and a 4-minute drive from Nissi Beach.Nonrefundable",EUR 36 - EUR 72
Eri Studios,"LocationThis accommodation welcomes guests in Aegina Town.FacilitiesServices and facilities include a baggage storage service and a transfer service. Wireless internet access in public areas allows guests to stay connected. A garden provides extra space for rest and relaxation in the open air. Guests arriving by car can park their vehicles in the car park. Services include a hotel shuttle bus.RoomsRooms are equipped with air conditioning. Guests can enjoy the sea view from a balcony or terrace. Rooms include a double bed. Guests can also book separate bedrooms. A kitchenette with a stovetop and a tea/coffee station is also provided as standard. WiFi comes as standard in the rooms. Bathrooms are equipped with a shower and a hairdryer.Sports/EntertainmentFine weather can be enjoyed on the terrace. Copyright GIATA 2004 - 2020. Multilingual, powered by www.giata.com for client no. 124971MealsThere is a restaurant on the premises. A fortifying breakfast is served daily.",EUR 28 - EUR 56
Gladiola Star,"The hotel is located in first row of the resort of Golden Sands, only 60 metres from the sandy beach and 100 metres from the resort centre. The closest bus station is about 500 metres away. The hotel is approximately 20 km from the next big city of Varna and 30 km from Varna Airport.The beach hotel is a 6-storey building with 2 lifts and consists of 100 rooms. The premises are air-conditioned and guests are welcomed in a lobby. 24-hour reception and check-out services are available and there are safe boxes at the reception. There is lift access to the upper floors. Guests can dine at a restaurant and bar, and room service is on offer. An Internet cafe, shop, currency exchange, laundry, doctor services, luggage room, parking and car rental are also at their disposal.All standard rooms have an en suite bathroom with a shower and a WC. Rooms are furnished with double beds. They also have a balcony, central air conditioning and heating, a direct dial phone and satellite television. The minibar can be used for an extra charge. The family room has 2 standard rooms with a connecting door.The sun beds and sun umbrellas on the",EUR 29 - EUR 59
Eternal Luxury Suites,"EPS Location 1 and 2 With a stay at Eternal luxury suites in Athens (Athens City Centre), you'll be a 5-minute walk from Monastiraki Flea Market and 9 minutes by foot from SyntagmaRefundable",EUR 18 - EUR 36
Pambos Napa Rocks,"HOTEL: This establishment has a reception, a swimming pool bar, a swimming pool, video games, a supermarket, a lobby with a TV and a nightclub. SITUATION: It is 500 metres away from the beach, 350 metres away, guests can find the city centre, Clients can find the leisure areas and shops. ROOM: apartments, have an open-plan kitchen, a fridge, an air-conditioning system, a safety deposit box (available for a fee) and a balcony or terrace. You are offered cleaning service, bedding change and towel change twice a week.",EUR 25 - EUR 51
Somewhere Vouliagmeni,"Don't miss out on recreational opportunities including an outdoor pool and a fitness center. Additional features at this hotel include complimentary wireless Internet access and concierge services.. For the benefit of our customers, we have provided a rating based on our rating system.. Featured amenities include a business center, dry cleaning/laundry services, and a 24-hour front desk. A shuttle from the airport to the hotel is complimentary (available 24 hours)..",EUR 0 - EUR 0
.com,"LocationThis hotel is located 800 m away from the bus station, while the beach is nearly 1 km away. Shopping facilities can also be found in the immediate vicinity and Varna Airport is 40 km away.Facilities20 single rooms and 307 double rooms are available to guests in a 5-storey main building and a 4-storey auxiliary building. Check-in and check-out are easy at this hotel, which has a 24-hour reception desk and a lift. Services and facilities include a safe, a currency exchange service, a newspaper stand, a TV room, a childcare service, medical assistance and an alarm call service. Wireless internet access is provided in public areas. The grounds of the hotel feature a playground and a lovely garden. Guests arriving by car can park their vehicles in the car park for a fee. Services include a hotel shuttle bus. Active guests can make use of the bicycle hire service (for a fee) to explore the surrounding area.RoomsAir conditioning ensures that rooms maintain comfortable temperatures. A balcony is among the standard features of some rooms. Children's beds and extra beds can be requested for younger guests. A desk is provided. Guests will also find a refrigerator included among the standard",EUR 58 - EUR 116
Perla,"LocationThe hotel is situated in a quieter part of the Golden Sands resort, surrounded by a natural park and greenery. The resort's centre with its choice of shops, restaurants, cafés and bars is just a few minutes away. There are also public transport connections approximately 50 m from the hotel and the sandy beach and Black Sea are within easy walking distance.Facilities10 studios and 222 double rooms are located on 7 storeys and can be reached by 2 lifts. The friendly staff at the reception desk in the lobby are happy to answer any questions. Amenities include a safe and a currency exchange service. Wireless internet access is provided in public areas. Everyday necessities can be purchased at the supermarket. The grounds of the hotel feature a playground and a lovely garden. Additional facilities include a TV room. Guests arriving by car can park their vehicles in the car park for a fee. Further services and facilities include a babysitting service (for a fee), medical assistance, room service, a laundry service and a hairdresser.RoomsAir conditioning ensures that rooms maintain comfortable temperatures. A balcony is included as standard in some rooms. All rooms are carpeted and include a double bed. Children's",EUR 0 - EUR 0
Haus Sonnwend,"Property Location A stay at Haus Sonnwend places you in the heart of Alpbach, steps from Alpbach Valley and a 2-minute drive from Wiedersbergerhorn Cable Car. This guesthouse is 13Nonrefundable",EUR 0 - EUR 0
Royal Beach,"Set in Golden sands , this property is the perfect base for both business and holiday travel. Hotel was built in 1999. Hotel underwent renovation in 2016. There are a total of 35 rooms on the premises. The property consists of 28 single/double rooms and 7 apartments. The Hotel is within a few minutes' drive from public transport links. The beach is only a few metres away from the Hotel.",EUR 0 - EUR 0
Rina,"EPS Location 1 and 2 Located in Alghero (La Pietraia), Rina Hotel is a 3-minute walk from San Giovanni Beach and 14 minutes by foot from Porto Conte Regional Natural Park. ThisNonrefundable",EUR 71 - EUR 142
Nona,"LocationCentrally located in Albena, this hotel is right on the sandy beach.FacilitiesAt this hotel, which includes a lift, guests are warmly welcomed in the lobby. A childcare service is available to guests. Wireless internet access allows guests to surf the internet and catch up on email. Everyday necessities can be purchased at the supermarket. There is also a playground for younger guests. Guests arriving by car can park their vehicles in the car park. A bicycle hire service provides all the necessary equipment for exploring the surrounding area.RoomsAir conditioning ensures that rooms maintain comfortable temperatures. Guests can enjoy the sea view from a balcony or terrace. Children's beds can be requested for younger guests. Amenities include a minibar, a telephone and a TV. Bathrooms include a hairdryer and are equipped with a shower and a bathtub. Family rooms are available for parents with children.Sports/EntertainmentRefreshing drinks are served at the poolside snack bar. A variety of sports are offered at the hotel, including beach volleyball, volleyball and horse riding or, for a fee, cycling/mountain biking and tennis. With water skiing, jet skiing, paddle boating, banana boat rides and aquafit available, fans of water sports will have plenty to choose from. Sport",EUR 40 - EUR 80
